cu_num,M,N,K,kernelId,splitK,us,kernelName
256,8192,16384,13312,21,0,736.0417,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,8192,16384,26624,21,0,1541.7372,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,8192,26624,16384,21,0,1511.9247,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,8192,53248,16384,24,0,3487.837,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E
256,16384,2304,16384,21,0,319.2593,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,16384,4608,16384,21,0,582.7793,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,16384,9216,16384,21,0,1058.9369,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,16384,13312,16384,21,0,1515.2712,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,16384,16384,2048,21,0,333.8239,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,16384,16384,4096,21,0,539.3316,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,16384,16384,6656,21,0,742.6742,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,16384,16384,8192,21,0,946.9637,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,16384,16384,13312,21,0,1457.1619,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,16384,16384,26624,21,0,3056.6872,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,16384,26624,16384,21,0,3022.95,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,16384,53248,16384,23,0,6935.401,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_224x256E
256,32768,2304,16384,21,0,567.9662,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,32768,4608,16384,21,0,1073.3623,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,32768,9216,16384,21,0,2140.2392,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,32768,13312,16384,21,0,3016.9627,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,32768,16384,2048,21,0,665.6559,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,32768,16384,4096,21,0,1079.5229,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,32768,16384,6656,21,0,1440.8879,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,32768,16384,8192,21,0,1881.3883,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,32768,16384,13312,21,0,2881.7149,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,32768,16384,26624,21,0,6065.6024,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,32768,26624,16384,21,0,6036.7678,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,32768,53248,16384,23,0,13786.4608,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_224x256E
256,1,800,5120,22,0,21.1826,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,1,5120,1280,24,0,10.6228,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E
256,1,5120,5120,22,0,21.6916,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,1,5120,6400,22,0,25.1926,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,1,5120,25600,22,0,80.971,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,1,6400,5120,22,0,21.6256,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,1,12800,5120,22,0,22.2311,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,1,51200,5120,22,0,31.4607,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,16,800,5120,22,0,21.2953,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,16,5120,1280,24,0,10.5633,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E
256,16,5120,5120,22,0,21.8339,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,16,5120,6400,22,0,25.6474,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,16,5120,25600,22,0,81.7599,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,16,6400,5120,22,0,22.5349,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,16,12800,5120,22,0,22.5012,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,16,51200,5120,22,0,31.0446,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,32,800,5120,22,0,21.989,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,32,5120,1280,24,0,10.7961,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E
256,32,5120,5120,22,0,23.3446,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,32,5120,6400,22,0,25.8126,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,32,5120,25600,22,0,92.6403,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,32,6400,5120,22,0,23.2386,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,32,12800,5120,22,0,24.1217,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,32,51200,5120,22,0,32.5996,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,64,800,5120,22,0,25.8477,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,64,5120,1280,22,0,11.1583,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,64,5120,5120,22,0,27.532,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,64,5120,6400,22,0,25.4915,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,64,5120,25600,22,0,109.1856,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,64,6400,5120,22,0,27.7736,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,64,12800,5120,22,0,28.2001,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,64,51200,5120,24,0,39.1796,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E
256,128,800,5120,24,0,32.7867,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E
256,128,5120,1280,22,0,11.722,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,128,5120,5120,22,0,33.783,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,128,5120,6400,22,0,26.7835,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,128,5120,25600,22,0,140.1972,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,128,6400,5120,22,0,33.6507,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,128,12800,5120,22,0,33.9284,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,128,51200,5120,21,0,52.5393,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,256,800,5120,22,0,36.8477,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,5120,1280,22,0,11.8102,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,5120,5120,22,0,38.9154,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,5120,6400,22,0,27.5295,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,5120,25600,22,0,166.5121,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,6400,5120,22,0,39.3243,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,12800,5120,22,0,40.3949,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,51200,5120,21,0,60.5051,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,512,800,5120,21,0,38.7761,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,512,5120,1280,22,0,12.1842,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,512,5120,5120,22,0,39.796,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,512,5120,6400,22,0,28.4174,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,512,5120,25600,22,0,167.8761,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,512,6400,5120,22,0,40.5552,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,512,12800,5120,22,0,42.4981,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,512,51200,5120,21,0,105.2133,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,1024,800,5120,23,0,46.2669,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_224x256E
256,1024,5120,1280,22,0,13.4783,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,1024,5120,5120,21,0,44.3527,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,1024,5120,6400,23,0,33.5992,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_224x256E
256,1024,5120,25600,22,0,171.1837,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,1024,6400,5120,22,0,43.1962,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,1024,12800,5120,24,0,57.2077,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E
256,1024,51200,5120,24,0,187.2715,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E
256,2048,800,5120,21,0,0.0,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,2048,5120,1280,22,0,15.4982,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,2048,5120,5120,21,0,46.2885,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,2048,5120,6400,24,0,41.7888,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E
256,2048,5120,25600,22,0,174.6649,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,2048,6400,5120,21,0,46.4622,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,2048,12800,5120,21,0,99.5665,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,2048,51200,5120,24,0,329.4363,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E
256,4096,800,5120,21,0,39.6258,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,4096,5120,1280,21,0,29.7493,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,4096,5120,5120,21,0,82.8112,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,4096,5120,6400,24,0,78.0839,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E
